Titles,Genres,Watched40
Bitconned — Netflix Documentary ,Documentary ,0
Fool Me Once (GB) — Netflix Series,"Crime, Drama, Mystery",1
You Are What You Eat: A Twin Experiment — Netflix Documentary ,Documentary ,0
Annie (1982),"Comedy, Drama, Family, Musical",1
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",0
Braven,"Action, Thriller",0
Chappie,"Action, Crime, Drama",1
Loudermilk: Season 1,"Comedy, Drama",1
Loudermilk: Season 2,"Comedy, Drama",1
Loudermilk: Season 3,"Comedy, Drama",1
Mahalia,"Drama, Biography, Music",1
Mandy,"Action, Thriller",0
One Piece: Marineford,"Animation, Action, Adventure",0
Sex Tape,"Comedy, Romance",1
Something Borrowed,"Comedy, Drama, Romance",1
War Dogs,"Comedy, Crime, Biography ",1
Boy Swallows Universe (AU) — Netflix Series,"Crime, Drama, Mystery ",1
The Brothers Sun — Netflix Series ,"Action, Comedy, Drama",1
Society of the Snow (ES) — Netflix Film ,"Adventure, Biography Drama, Spanish",0
Good Grief — Netflix Film ,"Comedy, Drama, Romance",1
Gyeongseong Creature Part 2 (KR) — Netflix Series,"Action, Drama, History, Korean",1
Mr. D: Season 1,Comedy,1
Mr. D: Season 2,Comedy,1
Mr. D: Season 3,Comedy,1
Batman Begins,"Action, Crime, Drama",1
Break Point: Season 2 (GB) — Netflix Documentary ,"Documentary, Sports",0
The Trust: A Game of Greed — Netflix Documentary ,Documentary,0
Champion (GB) — Netflix Series,"Drama, Sports",1
Sonic Prime Chapter 3 — Netflix Family ,"Animation, Action, Family",0
Lift — Netflix Film ,"Comedy, Crime",1
Love is Blind: Sweden — Netflix Series,"Reality-TV, Romance",1
CoComelon: Season 9,"Animation, Educational, Family",0
maboroshi (JP) — Netflix Anime,"Animation, Anime, Japanese",0
Spider-Man: No Way Home,"Action, Adventure, Sci-Fi",0
Uncharted,"Action, Adventure",0
Umma,"Horror, Drama",1
End of the Line (BR) — Netflix Series,"Drama, Thriller",1
Freaks,"Drama, Sci-Fi, Thriller",1
Rachid Badouri: Les fleurs du tapis (CA) — Netflix Comedy ,"Comedy, Stand-up Comedy, Canada",1
Love is Blind: Sweden — Netflix Series (new episodes) ,"Reality-TV, Romance",1
Love on the Spectrum U.S.: Season 2 — Netflix Series,"Documentary, Reality-TV",1
Mi soledad tiene alas (ES) — Netflix Film ,"Drama, Spanish ",1
Sixty Minutes (DE) — Netflix Film ,"Thriller, Drama, German",1
Captivating the King (KR) — Netflix Series,"Drama, Historical",1
Room,"Drama, Thriller, Korean",1
Not Quite Narwhal: Season 2 — Netflix Family,"Animation, Family",0
Jacqueline Novak: Get on Your Knees — Netflix Comedy ,"Comedy, Stand-up Comedy",1
Train to Busan,"Action, Horror, Thriller",0
