Titles,Genres,Watched40
Bitconned — Netflix Documentary ,Documentary ,
Fool Me Once (GB) — Netflix Series,"Crime, Drama, Mystery",
You Are What You Eat: A Twin Experiment — Netflix Documentary ,Documentary ,
Annie (1982),"Comedy, Drama, Family, Musical",
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",
Braven,"Action, Thriller",
Chappie,"Action, Crime, Drama",
Loudermilk: Season 1,"Comedy, Drama",
Loudermilk: Season 2,"Comedy, Drama",
Loudermilk: Season 3,"Comedy, Drama",
Mahalia,"Drama, Biography, Music",
Mandy,"Action, Thriller",
One Piece: Marineford,"Animation, Action, Adventure",
Sex Tape,"Comedy, Romance",
Something Borrowed,"Comedy, Drama, Romance",
War Dogs,"Comedy, Crime, Biography ",
Boy Swallows Universe (AU) — Netflix Series,"Crime, Drama, Mystery ",
The Brothers Sun — Netflix Series ,"Action, Comedy, Drama",
Society of the Snow (ES) — Netflix Film ,"Adventure, Biography Drama, Spanish",
Good Grief — Netflix Film ,"Comedy, Drama, Romance",
Gyeongseong Creature Part 2 (KR) — Netflix Series,"Action, Drama, History, Korean",
Mr. D: Season 1,Comedy,
Mr. D: Season 2,Comedy,
Mr. D: Season 3,Comedy,
Batman Begins,"Action, Crime, Drama",
Break Point: Season 2 (GB) — Netflix Documentary ,"Documentary, Sports",
The Trust: A Game of Greed — Netflix Documentary ,Documentary,
Champion (GB) — Netflix Series,"Drama, Sports",
Sonic Prime Chapter 3 — Netflix Family ,"Animation, Action, Family",
Lift — Netflix Film ,"Comedy, Crime",
Love is Blind: Sweden — Netflix Series,"Reality-TV, Romance",
CoComelon: Season 9,"Animation, Educational, Family",
maboroshi (JP) — Netflix Anime,"Animation, Anime, Japanese",
Spider-Man: No Way Home,"Action, Adventure, Sci-Fi",
Uncharted,"Action, Adventure",
Umma,"Horror, Drama",
End of the Line (BR) — Netflix Series,"Drama, Thriller",
Freaks,"Drama, Sci-Fi, Thriller",
Rachid Badouri: Les fleurs du tapis (CA) — Netflix Comedy ,"Comedy, Stand-up Comedy, Canada",
Love is Blind: Sweden — Netflix Series (new episodes) ,"Reality-TV, Romance",
Love on the Spectrum U.S.: Season 2 — Netflix Series,"Documentary, Reality-TV",
Mi soledad tiene alas (ES) — Netflix Film ,"Drama, Spanish ",
Sixty Minutes (DE) — Netflix Film ,"Thriller, Drama, German",
Captivating the King (KR) — Netflix Series,"Drama, Historical",
Room,"Drama, Thriller, Korean",
Not Quite Narwhal: Season 2 — Netflix Family,"Animation, Family",
Jacqueline Novak: Get on Your Knees — Netflix Comedy ,"Comedy, Stand-up Comedy",
Train to Busan,"Action, Horror, Thriller",
Six Nations: Full Contact (GB) — Netflix Documentary ,"Documentary, Sports",
Queer Eye: Season 8 — Netflix Series,"Reality-TV, Makeover",
Griselda — Netflix Seires," Drama, Biography",
